description,prix,code,marque,date
Mélange printanier,Salades emballées,3.78,20956673_EA,None,2019-07-16 14:21
Mélange bébé chou frisé Attitude fraîche,Salades emballées,3.78,21010081_EA,Givenchy,2019-07-16 14:21
Salade César légère,Salades emballées,3.98,20128328_EA,Dole,2019-07-16 14:21
mélange de légumes,Salades emballées,3.98,20186654_EA,le Choix du Président,2019-07-16 14:21
Préparation à salade ranch,Salades emballées,3.98,20990285_EA,Dole,2019-07-16 14:21
Ensemble Chopped salade grecque,Salades emballées,3.98,21094403_EA,Dole,2019-07-16 14:21
Salade César,Salades emballées,3.98,20218303_EA,Dole,2019-07-16 14:21
Salade hachée mélange césar,Salades emballées,3.98,21050963_EA,Dole,2019-07-16 14:21
Mélange Ultime César,Salades emballées,3.98,20326424_EA,Dole,2019-07-16 14:21
Salade en sac au chipotle et au cheddar Chop Chop,Salades emballées,3.98,20732370_EA,Dole,2019-07-16 14:21
Salade en sac CHOP CHOP BBQ Ranch,Salades emballées,3.98,20731078_EA,Dole,2019-07-16 14:21
Ensemble pour salade asiatique biologique,Salades emballées,4.98,21182276_EA,Earthbound Farm Organic,2019-07-16 14:21
Laitue romaine coupée,Salades emballées,4.98,21010066_EA,Givenchy,2019-07-16 14:21
Mélange doux au chou frisé,Salades emballées,4.98,21020422_EA,Givenchy,2019-07-16 14:21
Mélange à la grecque avec garnitures,Salades emballées,4.98,20651236_EA,None,2019-07-16 14:21
Ensemble pour salade de chou frisé biologique,Salades emballées,4.98,21182273_EA,Earthbound Farm Organic,2019-07-16 14:21
Mélange bébé romaine Attitude fraîche,Salades emballées,4.98,21010072_EA,Givenchy,2019-07-16 14:21
Mélange printanier Attitude fraîche,Salades emballées,4.98,20513376_EA,Givenchy,2019-07-16 14:21
Ensemble pour salade Sud-Ouest biologique,Salades emballées,4.98,21182278_EA,Earthbound Farm Organic,2019-07-16 14:21
Mélange jeunes épinards Attitude fraîche,Salades emballées,4.98,21010070_EA,Givenchy,2019-07-16 14:21
Mélange César Attitude fraîche,Salades emballées,4.98,20513380_EA,Givenchy,2019-07-16 14:21
Ensemble pour salade césar biologique,Salades emballées,4.98,21183578_EA,Earthbound Farm Organic,2019-07-16 14:21
Salade mélange printanier,Salades emballées,5.98,20247887_EA,Givenchy,2019-07-16 14:21
Mélange indien doux avec Naan,Salades emballées,5.98,21012253_EA,Givenchy,2019-07-16 14:21
Mélange Sud-Ouest avec garnitures Attitude fraîche,Salades emballées,5.98,21010045_EA,Givenchy,2019-07-16 14:21
jeunes épinards,Salades emballées,5.98,20127207_EA,le Choix du Président,2019-07-16 14:21
Salade César emballage à double coque,Salades emballées,5.98,20249660_EA,Givenchy,2019-07-16 14:21
Légumes-feuilles des champs biologiques,Salades emballées,5.98,20323751_EA,le Choix du Président,2019-07-16 14:21
Figues turques séchées,Fruits séchés et noix,2.48,20599942_EA,Aurora,2019-07-16 14:21
Tarte au citron 20 cm (8 po),Fruits séchés et noix,2.5,20768206_EA,Vieux moulin,2019-07-16 14:21
Tomates séchées,Fruits séchés et noix,2.98,20281762_EA,Aurora,2019-07-16 14:21
Arachides grillées Menu bleu, non salées,Fruits séchés et noix,3.0,20998002_EA,le Choix du Président,2019-07-16 14:21
Abricots séchés,Fruits séchés et noix,4.58,20079455_EA,Amira,2019-07-16 14:21
Pistaches sel et poivre,Fruits séchés et noix,5.0,20339219_EA,None,2019-07-16 14:21
Pistaches Wonderful, rôties et salées,Fruits séchés et noix,5.0,21085963001_EA,None,2019-07-16 14:21
Arachides rôties, sans sel,Fruits séchés et noix,5.0,20996039_EA,sans nom,2019-07-16 14:21
Dattes dénoyautées issues de semis naturels,Fruits séchés et noix,5.98,20772841_EA,None,2019-07-16 14:21
Pistaches grillées,Fruits séchés et noix,12.0,20003952_EA,le Choix du Président,2019-07-16 14:21
pistaches de la californieleu - non salées, grillées à,Fruits séchés et noix,12.0,20170773_EA,le Choix du Président,2019-07-16 14:21
Dattes Medjool,Fruits séchés et noix,14.98,20001686_EA,None,2019-07-16 14:21
Abricots,Pêches, nectarines et fruits à noyau,0.46,20092504001_KG,None,2019-07-16 14:21
Prunes noires,Pêches, nectarines et fruits à noyau,0.55,20316478001_KG,None,2019-07-16 14:21
Nectarines à chair jaune,Pêches, nectarines et fruits à noyau,0.61,20138563001_KG,None,2019-07-16 14:21
Pêches jaunes,Pêches, nectarines et fruits à noyau,0.87,20311564001_KG,None,2019-07-16 14:21
Pêches blanches,Pêches, nectarines et fruits à noyau,0.99,20109121001_KG,None,2019-07-16 14:21
Prunes rouges,Pêches, nectarines et fruits à noyau,1.42,20138186001_KG,None,2019-07-16 14:21
Pommes Empire,Pommes,0.7,20067027001_KG,None,2019-07-16 14:21
Pommes McIntosh,Pommes,0.87,20039956001_KG,None,2019-07-16 14:21
Pommes Granny Smith,Pommes,0.87,20253488001_KG,None,2019-07-16 14:21
Pommes Red Delicious,Pommes,0.92,20073899001_KG,None,2019-07-16 14:21
Pommes Royal Gala,Pommes,0.92,20083526001_KG,None,2019-07-16 14:21
Pommes Cortland,Pommes,0.92,20016938001_KG,None,2019-07-16 14:21
Pommes Pink Lady,Pommes,0.92,20093376001_KG,None,2019-07-16 14:21
Pommes Spartan,Pommes,0.92,20020314001_KG,None,2019-07-16 14:21
Pommes Honeycrisp,Pommes,1.58,20132621001_KG,None,2019-07-16 14:21
Pommes imparfaites,Pommes,5.98,20868985001_EA,sans nom,2019-07-16 14:21
Pommes McIntosh,Pommes,5.98,20713211001_EA,Farmer’s Market,2019-07-16 14:21
Pommes Empire,Pommes,5.98,20630648001_EA,Farmer’s Market,2019-07-16 14:21
Pommes Gala,Pommes,5.98,20767998001_EA,Farmer's Marketᴹᶜ,2019-07-16 14:21
Pommes Cortland,Pommes,5.98,20630871001_EA,Farmer’s Market,2019-07-16 14:21
Pommes Spartan,Pommes,5.98,20281372001_EA,Farmer’s Market,2019-07-16 14:21
Poires Bartlett,Pears,0.78,20172240001_KG,None,2019-07-16 14:21
Poires Bosc,Pears,0.81,20287815001_KG,None,2019-07-16 14:21
Poires d'Anjou,Pears,0.89,20174514001_KG,None,2019-07-16 14:21
Poires Forelle,Pears,0.96,20143210001_KG,None,2019-07-16 14:21
Poires asiatiques jaunes,Pears,1.4,20035618001_KG,None,2019-07-16 14:21
Plantain,Bananes et plantains,0.56,20111926001_KG,None,2019-07-16 14:22
Bananes, grappe,Bananes et plantains,1.7,20175355001_KG,None,2019-07-16 14:22
Bananes biologiques,Bananes et plantains,2.11,20139509001_KG,le Choix du Président,2019-07-16 14:22
Raisins verts sans pépins,Raisins,4.46,20425775001_KG,None,2019-07-16 14:22
Raisins rouges sans pépins,Raisins,5.42,20159199001_KG,None,2019-07-16 14:22
Raisins rouges,Raisins,6.44,20319227001_KG,None,2019-07-16 14:22
Limes,Oranges et agrumes,0.48,20040489001_EA,None,2019-07-16 14:22
Citrons,Oranges et agrumes,0.68,20028593001_EA,None,2019-07-16 14:22
Mandarines,Oranges et agrumes,0.74,20124308001_KG,None,2019-07-16 14:22
Clémentines,Oranges et agrumes,0.74,20072482001_KG,None,2019-07-16 14:22
Pamplemousse rouge,Oranges et agrumes,0.78,20166580001_EA,None,2019-07-16 14:22
Orange navel, moyen,Oranges et agrumes,1.11,20287659001_KG,None,2019-07-16 14:22
Oranges Navel,Oranges et agrumes,1.14,20426078001_KG,None,2019-07-16 14:22
Orange navel,Oranges et agrumes,2.98,20162945001_EA,Farmer’s Market,2019-07-16 14:22
Citrons,Oranges et agrumes,3.0,20795315001_EA,Farmer’s Market,2019-07-16 14:22
Orange biologique,Oranges et agrumes,3.98,20972628001_EA,None,2019-07-16 14:22
Clémentines,Oranges et agrumes,4.98,20095158001_EA,None,2019-07-16 14:22
Citrons biologiques,Oranges et agrumes,5.48,20146331001_EA,None,2019-07-16 14:22
Clémentines biologiques,Oranges et agrumes,5.98,20607518001_EA,le Choix du Président,2019-07-16 14:22
Pamplepousse, Ruby Red,Oranges et agrumes,6.98,20118409001_EA,None,2019-07-16 14:22
Framboises,Baies et cerises,1.98,20128938001_EA,None,2019-07-16 14:22
Bleuets,Baies et cerises,2.98,20080137001_EA,None,2019-07-16 14:22
Fraises,Baies et cerises,2.98,20972254001_EA,None,2019-07-16 14:22
PC BIO BLEUETS 9,8 OZ,Baies et cerises,4.98,21179969001_EA,le Choix du Président,2019-07-16 14:22
Fraises biologiques,Baies et cerises,4.98,20313872001_EA,None,2019-07-16 14:22
Mûres,Baies et cerises,4.98,20051015001_EA,None,2019-07-16 14:22
Framboises biologiques,Baies et cerises,4.98,20056190001_EA,None,2019-07-16 14:22
Cerises rouges,Baies et cerises,5.85,20159690001_KG,None,2019-07-16 14:22
Mûres,Baies et cerises,5.98,20128072001_EA,None,2019-07-16 14:22
Cerises Rainier,Baies et cerises,6.59,20161181001_KG,None,2019-07-16 14:22
Framboises,Baies et cerises,6.98,20034947001_EA,None,2019-07-16 14:22
Cerises,Baies et cerises,7.69,20058478001_KG,le Choix du Président,2019-07-16 14:22
Kiwis,Avocats et fruits tropicaux,0.88,20130242001_EA,None,2019-07-16 14:22
Kakis fuyu,Avocats et fruits tropicaux,1.28,20139417001_EA,None,2019-07-16 14:22
Mangues rouges,Avocats et fruits tropicaux,1.28,20059635001_EA,None,2019-07-16 14:22
Avocats,Avocats et fruits tropicaux,1.98,21097012001_EA,None,2019-07-16 14:22
Fruits du dragon,Avocats et fruits tropicaux,2.48,20168395001_EA,None,2019-07-16 14:22
Litchis,Avocats et fruits tropicaux,2.88,20967707001_EA,None,2019-07-16 14:22
Kiwis,Avocats et fruits tropicaux,2.98,20784643001_EA,None,2019-07-16 14:22
Mangues rouges,Avocats et fruits tropicaux,2.98,20948317001_EA,None,2019-07-16 14:22
Grenade,Avocats et fruits tropicaux,2.98,20134767001_EA,None,2019-07-16 14:22
Papaye mûre et prête à manger,Avocats et fruits tropicaux,3.67,20817066001_KG,None,2019-07-16 14:22
Gros ananas,Avocats et fruits tropicaux,3.98,20002956001_EA,le Choix du Président,2019-07-16 14:22
Ananas,Avocats et fruits tropicaux,3.98,20160992001_EA,None,2019-07-16 14:22
Avocat, 6 unités,Avocats et fruits tropicaux,5.98,20872671001_EA,None,2019-07-16 14:22
Avocats Hass,Avocats et fruits tropicaux,7.98,20680596001_EA,le Choix du Président,2019-07-16 14:22
Avocats Bag,Avocats et fruits tropicaux,9.98,21086003001_EA,sans nom,2019-07-16 14:22
Limes,Citrons et limes,0.48,20040489001_EA,None,2019-07-16 14:22
Citrons,Citrons et limes,0.68,20028593001_EA,None,2019-07-16 14:22
Citrons,Citrons et limes,3.0,20795315001_EA,Farmer’s Market,2019-07-16 14:22
Citrons biologiques,Citrons et limes,5.48,20146331001_EA,None,2019-07-16 14:22
Melon d’eau rouge sans pépins,Melons d'eau et melons,3.98,20067326001_EA,None,2019-07-16 14:22
Cantaloups biologiques,Melons d'eau et melons,3.98,20127944001_EA,None,2019-07-16 14:22
Cantaloup,Melons d'eau et melons,3.98,20167017001_EA,None,2019-07-16 14:22
Melons Hami,Melons d'eau et melons,8.23,21051297001_KG,None,2019-07-16 14:22
Gingembre,Ail, gingembre et pousses,0.92,20179038001_KG,None,2019-07-16 14:22
Ail à gros bulbe,Ail, gingembre et pousses,1.1,20135581001_KG,None,2019-07-16 14:22
Ail pelé,Ail, gingembre et pousses,1.98,20636099_EA,None,2019-07-16 14:22
Germes de haricot,Ail, gingembre et pousses,2.48,20981940001_EA,None,2019-07-16 14:22
Ail,Ail, gingembre et pousses,4.98,20433866_EA,Rooster,2019-07-16 14:22
Courgettes jaunes,Asperges, aubergines et courgettes,0.76,20148363001_KG,None,2019-07-16 14:22
Courgette,Asperges, aubergines et courgettes,0.79,20426596001_KG,None,2019-07-16 14:22
Aubergine longue,Asperges, aubergines et courgettes,1.09,20159013001_KG,None,2019-07-16 14:22
Aubergines pourpres,Asperges, aubergines et courgettes,2.49,20155709001_KG,None,2019-07-16 14:22
Courgette verte biologique,Asperges, aubergines et courgettes,2.98,20878973001_EA,None,2019-07-16 14:22
Rapini,Asperges, aubergines et courgettes,3.48,20048070001_EA,None,2019-07-16 14:22
Fenouil,Asperges, aubergines et courgettes,3.98,20003346001_EA,None,2019-07-16 14:22
Asperges,Asperges, aubergines et courgettes,5.17,20174581001_KG,None,2019-07-16 14:22
Betteraves rouges,Patates, oignons et carottes,0.62,20150181001_KG,None,2019-07-16 14:22
Oignon jaune,Patates, oignons et carottes,0.79,20168304001_KG,None,2019-07-16 14:22
Oignon espagnol,Patates, oignons et carottes,0.93,20043212001_KG,None,2019-07-16 14:22
Ail,Patates, oignons et carottes,0.98,21004355001_EA,Rooster,2019-07-16 14:22
Pommes de terre rouges,Patates, oignons et carottes,1.13,20426724001_KG,None,2019-07-16 14:22
Pomme de terre Russet,Patates, oignons et carottes,1.4,20025548001_KG,None,2019-07-16 14:22
Pommes de terre à chair blanche,Patates, oignons et carottes,1.57,20025066001_KG,None,2019-07-16 14:22
Oignon rouge,Patates, oignons et carottes,1.62,20134101001_KG,None,2019-07-16 14:22
carottes,Patates, oignons et carottes,2.0,20053421_EA,le Choix du Président,2019-07-16 14:22
Oignon doux,Patates, oignons et carottes,2.01,20083454001_KG,None,2019-07-16 14:22
Navets,Patates, oignons et carottes,2.08,20136107001_KG,None,2019-07-16 14:22
Manioc,Patates, oignons et carottes,2.22,20087682001_KG,None,2019-07-16 14:22
Oignon blanc,Patates, oignons et carottes,2.43,20003839001_KG,None,2019-07-16 14:22
Mini-carottes,Patates, oignons et carottes,2.48,20117370001_EA,Farmer’s Market,2019-07-16 14:22
Carottes en botte,Patates, oignons et carottes,2.48,20047449001_EA,None,2019-07-16 14:22
Petits oignons blancs,Patates, oignons et carottes,2.48,20768179001_EA,None,2019-07-16 14:22
Lobok,Patates, oignons et carottes,2.65,20082109001_KG,None,2019-07-16 14:22
Patates douces,Patates, oignons et carottes,2.75,20127708001_KG,None,2019-07-16 14:22
Carottes nantaises,Patates, oignons et carottes,2.98,20426083_EA,None,2019-07-16 14:22
Carottes,Patates, oignons et carottes,2.98,20600927001_EA,Farmer’s Market,2019-07-16 14:22
Little Gems Rousses Mini pommes de terre rouges,Patates, oignons et carottes,2.98,20078939_EA,le Choix du Président,2019-07-16 14:22
Little Gems Dorées Mini pommes de terre à chair jaune,Patates, oignons et carottes,2.98,20035921_EA,le Choix du Président,2019-07-16 14:22
Betteraves rouges,Patates, oignons et carottes,2.98,20069522001_EA,None,2019-07-16 14:22
Échalote séchée,Patates, oignons et carottes,2.98,20293025_EA,None,2019-07-16 14:22
carottes coupées style miniature,Patates, oignons et carottes,2.98,20185409_EA,le Choix du Président,2019-07-16 14:22
Betteraves rouges en botte,Patates, oignons et carottes,2.98,20174607001_EA,None,2019-07-16 14:22
Little Gems Assorties Mini pommes de terre assorties,Patates, oignons et carottes,2.98,20125267_EA,le Choix du Président,2019-07-16 14:22
Oignons jaunes,Patates, oignons et carottes,2.98,20811994001_EA,Farmer’s Market,2019-07-16 14:22
Patates douces de Jamaïque,Patates, oignons et carottes,3.24,20130919001_KG,None,2019-07-16 14:22
Oignons à cuire,Patates, oignons et carottes,3.48,20107532_EA,le Choix du Président,2019-07-16 14:22
betteraves rouges, jaunes et rayées mélange arc-en-ciel,Patates, oignons et carottes,3.48,20290963_EA,None,2019-07-16 14:22
Plateau de patates pour cuisson,Patates, oignons et carottes,3.98,21035898001_EA,None,2019-07-16 14:22
Pommes de terre parisiennes,Patates, oignons et carottes,3.98,20044848_EA,None,2019-07-16 14:22
OIGNON VIDALIA 2LB,Patates, oignons et carottes,3.98,21033608001_EA,None,2019-07-16 14:22
Rutabaga,Patates, oignons et carottes,4.78,20146539_EA,None,2019-07-16 14:22
Oignons rouges,Patates, oignons et carottes,4.98,20811362001_EA,Farmer’s Market,2019-07-16 14:22
carottes coupées style miniature,Patates, oignons et carottes,4.98,20628932001_EA,le Choix du Président,2019-07-16 14:22
Pommes de terre Russet,Patates, oignons et carottes,4.98,20601020001_EA,Farmer’s Market,2019-07-16 14:22
Oignon,Patates, oignons et carottes,4.98,20941203001_EA,sans nom,2019-07-16 14:22
Mini-carottes,Patates, oignons et carottes,4.98,20031454001_EA,Farmer’s Market,2019-07-16 14:22
Rutabaga,Patates, oignons et carottes,5.22,20164563001_KG,None,2019-07-16 14:22
Pommes de terre rouges,Patates, oignons et carottes,5.98,20600999001_EA,Farmer’s Market,2019-07-16 14:22
Oignons jaunes,Patates, oignons et carottes,5.98,20600991001_EA,Farmer’s Market,2019-07-16 14:22
Lait nordique biologique 2 %,Patates, oignons et carottes,6.29,20971271_EA,Nutrinor,2019-07-16 14:22
Lait nordique biologique 3,8 %,Patates, oignons et carottes,6.49,20971249_EA,Nutrinor,2019-07-16 14:22
Pommes de terre rouges,Patates, oignons et carottes,6.98,20009380_EA,le Choix du Président,2019-07-16 14:22
Pommes de terre jaunes,Patates, oignons et carottes,6.98,20075900_EA,le Choix du Président,2019-07-16 14:22
Pommes de terre blanches,Patates, oignons et carottes,6.98,20112070001_EA,None,2019-07-16 14:22
Radis,Poireaux, concombres et céleris,0.58,20032320001_EA,None,2019-07-16 14:22
Oignons verts,Poireaux, concombres et céleris,0.58,20107500001_EA,None,2019-07-16 14:22
Concombres des champs,Poireaux, concombres et céleris,0.78,20027651001_EA,None,2019-07-16 14:22
Concombres anglais,Poireaux, concombres et céleris,0.98,20070132001_EA,None,2019-07-16 14:22
Poireau en tiges individuelles,Poireaux, concombres et céleris,1.98,20973464_EA,None,2019-07-16 14:22
Radis,Poireaux, concombres et céleris,2.48,20175513001_EA,None,2019-07-16 14:22
Concombres anglais biologiques,Poireaux, concombres et céleris,2.48,20080489001_EA,None,2019-07-16 14:22
Mini concombres,Poireaux, concombres et céleris,2.98,20737570001_EA,Farmer’s Market,2019-07-16 14:22
Céleri,Poireaux, concombres et céleris,2.98,20163119001_EA,None,2019-07-16 14:22
Mini concombres biologiques,Poireaux, concombres et céleris,3.98,20935931001_EA,None,2019-07-16 14:22
Poireaux,Poireaux, concombres et céleris,4.98,20090117001_EA,None,2019-07-16 14:22
Cœurs de céleri bioloqiques,Poireaux, concombres et céleris,5.98,20600792001_EA,None,2019-07-16 14:22
Ma�s bicolore,Pois, haricots et maïs,0.27,20131170001_EA,None,2019-07-16 14:22
Haricots verts,Pois, haricots et maïs,0.33,20832502001_KG,None,2019-07-16 14:22
Maïs bicolore paquet de 4,Pois, haricots et maïs,3.98,20348977001_EA,Farmer’s Market,2019-07-16 14:22
Pois sucrés,Pois, haricots et maïs,3.98,20712998_EA,Mann’s,2019-07-16 14:22
Tomates Roma,Poivrons et tomates,0.52,20143381001_KG,None,2019-07-16 14:22
Tomate en grappe,Poivrons et tomates,1.04,20025417001_KG,None,2019-07-16 14:22
Tomates rouges de serre,Poivrons et tomates,1.17,20426141001_KG,None,2019-07-16 14:22
Poivrons Cubanelle,Poivrons et tomates,1.49,20049810001_KG,None,2019-07-16 14:22
Poivron vert,Poivrons et tomates,1.84,20425893001_KG,None,2019-07-16 14:22
Tomates en grappe (1régime),Poivrons et tomates,2.31,20026703001_KG,None,2019-07-16 14:22
Poivrons rouges,Poivrons et tomates,2.37,20007535001_KG,None,2019-07-16 14:22
Poivron orange,Poivrons et tomates,2.37,20166880001_KG,None,2019-07-16 14:22
Poivron jaune,Poivrons et tomates,2.47,20141814001_KG,None,2019-07-16 14:22
Tomates cocktail Savoura,Poivrons et tomates,2.48,20914334001_EA,None,2019-07-16 14:22
Tomates cocktail biologiques,Poivrons et tomates,2.98,20424953_EA,None,2019-07-16 14:22
tomates raisins,Poivrons et tomates,2.98,20799491001_EA,le Choix du Président,2019-07-16 14:22
Poivrons verts,Poivrons et tomates,2.98,20115233001_EA,None,2019-07-16 14:22
Tomates raisins,Poivrons et tomates,2.98,20287649001_EA,Farmer’s Market,2019-07-16 14:22
Tomates séchées,Poivrons et tomates,2.98,20281762_EA,Aurora,2019-07-16 14:22
Piments Finger piquants,Poivrons et tomates,3.48,20874331001_EA,None,2019-07-16 14:22
Piments jaunes forts,Poivrons et tomates,3.48,20874449001_EA,None,2019-07-16 14:22
Piments jalapenos,Poivrons et tomates,3.48,20845493001_EA,None,2019-07-16 14:22
Piments Scotch Bonnet,Poivrons et tomates,3.48,20874524001_EA,None,2019-07-16 14:22
Tomate rouge sur vigne biologique,Poivrons et tomates,3.94,20127917001_KG,None,2019-07-16 14:22
Tomates raisins biologiques Savoura,Poivrons et tomates,3.98,21011398001_EA,None,2019-07-16 14:22
Poivrons biologiques,Poivrons et tomates,3.98,20690699001_EA,le Choix du Président,2019-07-16 14:22
Tomates Roma,Poivrons et tomates,3.98,20651932001_EA,le Choix du Président,2019-07-16 14:22
Petits poivrons doux,Poivrons et tomates,4.98,20117550001_EA,Farmer’s Market,2019-07-16 14:22
Mini-piments,Poivrons et tomates,4.98,20921434001_EA,sans nom,2019-07-16 14:22
Tomates raisins,Poivrons et tomates,5.0,20840038001_EA,Farmer’s Market,2019-07-16 14:22
Tomates Roma,Poivrons et tomates,5.0,20887498001_EA,None,2019-07-16 14:22
??Assortiment de tomates PC,Poivrons et tomates,5.0,20949866001_EA,le Choix du Président,2019-07-16 14:22
Laitue feuille verte,Laitues et légumes-feuilles,0.78,20133884001_EA,None,2019-07-16 14:22
Laitue rouge,Laitues et légumes-feuilles,0.78,20305726001_EA,None,2019-07-16 14:22
Laitue romaine,Laitues et légumes-feuilles,0.78,20065036001_EA,None,2019-07-16 14:22
