description,prix,code,marque,date
Ail,4.98,20433866_EA,Rooster,2019-06-28 22:17
Laitue iceberg classique,2.48,20137145_EA,Dole,2019-06-28 22:17
Salade de chou colorée,2.48,20084126_EA,Dole,2019-06-28 22:17
Salade romaine classique,2.48,20305385_EA,Dole,2019-06-28 22:17
Pois sucrés,2.98,21023581001_EA,None,2019-06-28 22:17
Pois sucrés,2.98,21023553001_EA,None,2019-06-28 22:17
Salade de brocolis,2.98,20961110_EA,le Choix du Président,2019-06-28 22:17
salade de chou frisé,2.98,20960988_EA,le Choix du Président,2019-06-28 22:17
salade de betteraves,2.98,20961966_EA,le Choix du Président,2019-06-28 22:17
Salade Style Santa Fe,3.48,21158448_EA,None,2019-06-28 22:17
Salade César au Poulet et au Bacon,3.48,21158232_EA,None,2019-06-28 22:17
Mélange jeunes épinards Attitude fraîche,3.48,20956763_EA,None,2019-06-28 22:17
Mélange Oriental Attitude fraîche,3.48,21012320_EA,Givenchy,2019-06-28 22:17
Salade Cobb à la Dinde et au Bacon,3.48,21158247_EA,None,2019-06-28 22:17
Mélange bébé chou frisé Attitude fraîche,3.48,21010081_EA,Givenchy,2019-06-28 22:17
Roquette,3.48,20956796_EA,None,2019-06-28 22:17
Mélange San Marino avec garnitures Attitude fraîche,3.48,21010077_EA,Givenchy,2019-06-28 22:17
Salade Style Grecque au Poulet,3.48,21158443_EA,None,2019-06-28 22:17
Bébés roquettes et épinards,3.98,21020913_EA,le Choix du Président,2019-06-28 22:17
Salade César,3.98,20218303_EA,Dole,2019-06-28 22:17
mélange de légumes,3.98,20186654_EA,le Choix du Président,2019-06-28 22:17
jeunes épinards,3.98,20305277_EA,le Choix du Président,2019-06-28 22:17
Préparation à salade ranch,3.98,20990285_EA,Dole,2019-06-28 22:17
Salade César légère,3.98,20128328_EA,Dole,2019-06-28 22:17
Ensemble pour salade asiatique biologique,4.98,21182276_EA,Earthbound Farm Organic,2019-06-28 22:17
Ensemble pour salade césar biologique,4.98,21183578_EA,Earthbound Farm Organic,2019-06-28 22:17
Ensemble pour salade de chou frisé biologique,4.98,21182273_EA,Earthbound Farm Organic,2019-06-28 22:17
Ensemble pour salade Sud-Ouest biologique,4.98,21182278_EA,Earthbound Farm Organic,2019-06-28 22:17
Ensemble Chopped salade grecque,4.98,21094403_EA,Dole,2019-06-28 22:17
Mélange printanier Attitude fraîche,4.98,20513376_EA,Givenchy,2019-06-28 22:17
Mélange Ultime César,4.98,20326424_EA,Dole,2019-06-28 22:17
Salade en sac CHOP CHOP BBQ Ranch,4.98,20731078_EA,Dole,2019-06-28 22:17
Mélange bébé romaine Attitude fraîche,4.98,21010072_EA,Givenchy,2019-06-28 22:17
Mélange doux au chou frisé,4.98,21020422_EA,Givenchy,2019-06-28 22:17
Salade en sac au chipotle et au cheddar Chop Chop,4.98,20732370_EA,Dole,2019-06-28 22:17
Laitue romaine coupée,4.98,21010066_EA,Givenchy,2019-06-28 22:17
Mélange César Attitude fraîche,4.98,20513380_EA,Givenchy,2019-06-28 22:17
Mélange à la grecque avec garnitures,4.98,20651236_EA,None,2019-06-28 22:17
Mélange Sud-Ouest avec garnitures Attitude fraîche,5.98,21010045_EA,Givenchy,2019-06-28 22:17
jeunes épinards,5.98,20127207_EA,le Choix du Président,2019-06-28 22:17
Salade mélange printanier,5.98,20247887_EA,Givenchy,2019-06-28 22:17
Mélange indien doux avec Naan,5.98,21012253_EA,Givenchy,2019-06-28 22:17
Épinards printaniers biologiques,5.98,21020931_EA,le Choix du Président,2019-06-28 22:17
Salade César emballage à double coque,5.98,20249660_EA,Givenchy,2019-06-28 22:17
Légumes-feuilles des champs biologiques,5.98,20323751_EA,le Choix du Président,2019-06-28 22:17
Figues turques séchées,2.48,20599942_EA,Aurora,2019-06-28 22:17
Tarte au citron 20 cm (8 po),2.5,20768206_EA,Vieux moulin,2019-06-28 22:17
Tomates séchées,2.98,20281762_EA,Aurora,2019-06-28 22:17
Arachides grillées Menu bleu, non salées,3.0,20998002_EA,le Choix du Président,2019-06-28 22:17
Abricots séchés,4.08,20079455_EA,Amira,2019-06-28 22:17
Arachides rôties, sans sel,5.0,20996039_EA,sans nom,2019-06-28 22:17
Pistaches Wonderful, rôties et salées,5.0,21085963001_EA,None,2019-06-28 22:17
Pistaches sel et poivre,5.0,20339219_EA,None,2019-06-28 22:17
Dattes dénoyautées issues de semis naturels,5.98,20772841_EA,None,2019-06-28 22:17
pistaches de la californieleu - non salées, grillées à,12.0,20170773_EA,le Choix du Président,2019-06-28 22:17
Pistaches grillées,12.0,20003952_EA,le Choix du Président,2019-06-28 22:17
Dattes Medjool,14.98,20001686_EA,None,2019-06-28 22:17
Nectarines à chair jaune,0.77,20138563001_KG,None,2019-06-28 22:17
Pêches blanches,0.99,20109121001_KG,None,2019-06-28 22:17
Pêches,0.52,20002646001_KG,None,2019-06-28 22:17
Abricots,0.46,20092504001_KG,None,2019-06-28 22:17
Pêches jaunes,0.65,20311564001_KG,None,2019-06-28 22:17
Prunes noires,0.66,20316478001_KG,None,2019-06-28 22:17
Nectarines,0.77,20319426001_KG,None,2019-06-28 22:17
Prunes rouges,1.42,20138186001_KG,None,2019-06-28 22:17
Poires Bartlett,0.78,20172240001_KG,None,2019-06-28 22:17
Poires Bosc,1.2,20287815001_KG,None,2019-06-28 22:17
Poires Forelle,1.2,20143210001_KG,None,2019-06-28 22:17
Poires d'Anjou,1.31,20174514001_KG,None,2019-06-28 22:17
Poires asiatiques jaunes,1.4,20035618001_KG,None,2019-06-28 22:17
Plantain,0.71,20111926001_KG,None,2019-06-28 22:17
Bananes, grappe,1.7,20175355001_KG,None,2019-06-28 22:17
Bananes biologiques,2.38,20139509001_KG,le Choix du Président,2019-06-28 22:17
Raisins rouges sans pépins,4.33,20159199001_KG,None,2019-06-28 22:17
Raisins verts sans pépins,6.7,20425775001_KG,None,2019-06-28 22:17
Raisins verts sans pépins,7.98,20285555001_EA,le Choix du Président,2019-06-28 22:17
Limes,0.48,20040489001_EA,None,2019-06-28 22:17
Pamplemousse rouge,0.68,20166580001_EA,None,2019-06-28 22:17
Citrons,0.68,20028593001_EA,None,2019-06-28 22:17
Clémentines,0.74,20072482001_KG,None,2019-06-28 22:17
Orange navel, moyen,1.11,20287659001_KG,None,2019-06-28 22:17
Oranges Navel,1.14,20426078001_KG,None,2019-06-28 22:17
Orange navel,3.0,20162945001_EA,Farmer’s Market,2019-06-28 22:17
Clémentines,3.98,20095158001_EA,None,2019-06-28 22:17
Orange biologique,3.98,20972628001_EA,None,2019-06-28 22:17
Citrons,3.98,20795315001_EA,Farmer’s Market,2019-06-28 22:17
Oranges sanguines,4.98,20128918001_EA,le Choix du Président,2019-06-28 22:17
Limes,4.98,20435942001_EA,None,2019-06-28 22:17
Citrons biologiques,5.48,20146331001_EA,None,2019-06-28 22:17
Fraises,2.98,20972254001_EA,None,2019-06-28 22:17
Cerises rouges,3.68,20159690001_KG,None,2019-06-28 22:17
Framboises,3.98,20128938001_EA,None,2019-06-28 22:17
Mûres,3.98,20128072001_EA,None,2019-06-28 22:17
Mûres,3.98,20051015001_EA,None,2019-06-28 22:17
Framboises biologiques,4.98,20056190001_EA,None,2019-06-28 22:17
Bleuets,4.98,20338666001_EA,None,2019-06-28 22:17
Framboises,6.98,20034947001_EA,None,2019-06-28 22:17
Mangues rouges,0.88,20059635001_EA,None,2019-06-28 22:18
Kiwis,0.88,20130242001_EA,None,2019-06-28 22:18
Mangues Ataulfo,1.28,20121509001_EA,None,2019-06-28 22:18
Kakis fuyu,1.28,20139417001_EA,None,2019-06-28 22:18
Avocats,2.28,21097012001_EA,None,2019-06-28 22:18
Fruits du dragon,2.48,20168395001_EA,None,2019-06-28 22:18
Litchis,2.88,20967707001_EA,None,2019-06-28 22:18
Grenade,2.98,20134767001_EA,None,2019-06-28 22:18
Mangues rouges,3.48,20948317001_EA,None,2019-06-28 22:18
Kiwis,3.48,20784643001_EA,None,2019-06-28 22:18
Avocat, 6 unités,3.88,20872671001_EA,None,2019-06-28 22:18
Kiwis,3.98,20024148_EA,None,2019-06-28 22:18
Ananas,3.98,20160992001_EA,None,2019-06-28 22:18
Papaye mûre et prête à manger,5.68,20817066001_KG,None,2019-06-28 22:18
Avocats Hass,7.98,20680596001_EA,le Choix du Président,2019-06-28 22:18
Limes,0.48,20040489001_EA,None,2019-06-28 22:18
Citrons,0.68,20028593001_EA,None,2019-06-28 22:18
Citrons,3.98,20795315001_EA,Farmer’s Market,2019-06-28 22:18
Limes,4.98,20435942001_EA,None,2019-06-28 22:18
Citrons biologiques,5.48,20146331001_EA,None,2019-06-28 22:18
Cantaloup,2.98,20167017001_EA,None,2019-06-28 22:18
Melons brésiliens,3.27,21022511001_KG,None,2019-06-28 22:18
Cantaloups biologiques,3.98,20127944001_EA,None,2019-06-28 22:18
Melon d’eau rouge sans pépins,3.98,20067326001_EA,None,2019-06-28 22:18
Melons Hami,8.23,21051297001_KG,None,2019-06-28 22:18
Courgettes jaunes,1.18,20148363001_KG,None,2019-06-28 22:18
Courgette,1.22,20426596001_KG,None,2019-06-28 22:18
Rapini,2.48,20048070001_EA,None,2019-06-28 22:18
Aubergines pourpres,2.49,20155709001_KG,None,2019-06-28 22:18
Fenouil,3.48,20003346001_EA,None,2019-06-28 22:18
Asperges,5.17,20174581001_KG,None,2019-06-28 22:18
Oignon jaune,0.79,20168304001_KG,None,2019-06-28 22:18
Oignon espagnol,0.93,20043212001_KG,None,2019-06-28 22:18
Ail,0.98,21004355001_EA,Rooster,2019-06-28 22:18
Pommes de terre rouges,1.13,20426724001_KG,None,2019-06-28 22:18
Pomme de terre Russet,1.4,20025548001_KG,None,2019-06-28 22:18
Pommes de terre à chair blanche,1.57,20025066001_KG,None,2019-06-28 22:18
Oignon rouge,1.62,20134101001_KG,None,2019-06-28 22:18
Mini-carottes,1.98,20117370001_EA,Farmer’s Market,2019-06-28 22:18
Carottes nantaises,1.98,20426083_EA,None,2019-06-28 22:18
Oignon doux,2.01,20083454001_KG,None,2019-06-28 22:18
Lobok,2.03,20082109001_KG,None,2019-06-28 22:18
Navets,2.08,20136107001_KG,None,2019-06-28 22:18
Oignon blanc,2.43,20003839001_KG,None,2019-06-28 22:18
Petits oignons blancs,2.48,20768179001_EA,None,2019-06-28 22:18
Carottes en botte,2.48,20047449001_EA,None,2019-06-28 22:18
Betteraves rouges,2.48,20069522001_EA,None,2019-06-28 22:18
Manioc,2.52,20087682001_KG,None,2019-06-28 22:18
Patates douces,2.75,20127708001_KG,None,2019-06-28 22:18
Little Gems Rousses Mini pommes de terre rouges,2.98,20078939_EA,le Choix du Président,2019-06-28 22:18
Little Gems Dorées Mini pommes de terre à chair jaune,2.98,20035921_EA,le Choix du Président,2019-06-28 22:18
carottes coupées style miniature,2.98,20185409_EA,le Choix du Président,2019-06-28 22:18
OIGNON VIDALIA 2LB,2.98,21033608001_EA,None,2019-06-28 22:18
carottes,2.98,20053421_EA,le Choix du Président,2019-06-28 22:18
Échalote séchée,2.98,20293025_EA,None,2019-06-28 22:18
Carottes,2.98,20600927001_EA,Farmer’s Market,2019-06-28 22:18
Oignons jaunes,2.98,20811994001_EA,Farmer’s Market,2019-06-28 22:18
Patates douces de Jamaïque,3.24,20130919001_KG,None,2019-06-28 22:18
panais ,3.98,20081596_EA,None,2019-06-28 22:18
Oignons rouges,3.98,20811362001_EA,Farmer’s Market,2019-06-28 22:18
Plateau de patates pour cuisson,3.98,21035898001_EA,None,2019-06-28 22:18
Pommes de terre Russet,3.98,20616206001_EA,Farmer’s Market,2019-06-28 22:18
Pommes de terre parisiennes,3.98,20044848_EA,None,2019-06-28 22:18
Oignon,3.98,20941203001_EA,sans nom,2019-06-28 22:18
Pommes de terre rouges,4.48,20600999001_EA,Farmer’s Market,2019-06-28 22:18
Pomme de terre Russet,4.48,20063146001_EA,le Choix du Président,2019-06-28 22:18
Pommes de terre jaunes,4.48,20601014001_EA,Farmer’s Market,2019-06-28 22:18
Rutabaga,4.48,20164563001_KG,None,2019-06-28 22:18
Rutabaga,4.78,20146539_EA,None,2019-06-28 22:18
Mini-carottes,4.98,20031454001_EA,Farmer’s Market,2019-06-28 22:18
carottes coupées style miniature,4.98,20628932001_EA,le Choix du Président,2019-06-28 22:18
Pommes de terre,4.98,20944462001_EA,sans nom,2019-06-28 22:18
Pommes de terre Russet,4.98,20601020001_EA,Farmer’s Market,2019-06-28 22:18
Pommes de terre rouges,5.98,20601013001_EA,Farmer’s Market,2019-06-28 22:18
Oignons jaunes,5.98,20600991001_EA,Farmer’s Market,2019-06-28 22:18
Pommes de terre jaunes,5.98,20601017001_EA,Farmer’s Market,2019-06-28 22:18
Lait nordique biologique 2 %,6.29,20971271_EA,Nutrinor,2019-06-28 22:18
Lait nordique biologique 3,8 %,6.49,20971249_EA,Nutrinor,2019-06-28 22:18
Pommes de terre jaunes,6.98,20075900_EA,le Choix du Président,2019-06-28 22:18
Oignons verts,0.68,20107500001_EA,None,2019-06-28 22:18
Radis,0.68,20032320001_EA,None,2019-06-28 22:18
Concombres des champs,1.28,20027651001_EA,None,2019-06-28 22:18
Oignons verts biologiques,1.28,20603423001_EA,le Choix du Président,2019-06-28 22:18
Concombres anglais,1.68,20070132001_EA,None,2019-06-28 22:18
Mini concombres,1.98,20737570001_EA,Farmer’s Market,2019-06-28 22:18
Poireau en tiges individuelles,1.98,20973464_EA,None,2019-06-28 22:18
Radis,2.48,20175513001_EA,None,2019-06-28 22:18
Mini concombres biologiques,3.98,20935931001_EA,None,2019-06-28 22:18
Céleri,4.98,20163119001_EA,None,2019-06-28 22:18
Mini-concombres,4.98,21035960001_EA,Farmer’s Market,2019-06-28 22:18
Poireaux,4.98,20090117001_EA,None,2019-06-28 22:18
Cœurs de céleri bioloqiques,5.98,20600792001_EA,None,2019-06-28 22:18
Haricots verts,0.38,20832502001_KG,None,2019-06-28 22:18
Ma�s bicolore,0.78,20131170001_EA,None,2019-06-28 22:18
Pois sucrés,3.98,20712998_EA,Mann’s,2019-06-28 22:18
Laitue iceberg,0.98,20135326001_EA,None,2019-06-28 22:18
Cœurs de romaine,1.48,20082756001_EA,Sunridge,2019-06-28 22:18
Laitue rouge,1.98,20305726001_EA,None,2019-06-28 22:18
Épinards en botte,1.98,20162840001_EA,None,2019-06-28 22:18
Laitue feuille verte,1.98,20133884001_EA,None,2019-06-28 22:18
Laitue romaine,1.98,20065036001_EA,None,2019-06-28 22:18
Laitue feuille verte,1.98,20170315_EA,None,2019-06-28 22:18
Laitue duo gourmet,2.98,20897491001_EA,None,2019-06-28 22:18
Endive,2.98,20899441001_EA,None,2019-06-28 22:18
Chou frisé,2.98,20138805001_EA,None,2019-06-28 22:18
Bette à carde rouge,3.48,20275935001_EA,None,2019-06-28 22:18
Chou-rave,3.48,20010334001_EA,None,2019-06-28 22:18
Cœurs de laitue romaine PC Biologique,3.98,20599776001_EA,le Choix du Président,2019-06-28 22:18
Laitue Boston,3.98,20686537_EA,None,2019-06-28 22:18
Courge poivrée,4.23,20071263001_KG,None,2019-06-28 22:18
Courges spaghetti,6.34,20307900001_KG,None,2019-06-28 22:18
Courges Buttercup,7.68,20317208001_KG,None,2019-06-28 22:18
Courge Butternut,8.1,20325274001_KG,None,2019-06-28 22:18
Champignons de Paris blancs entiers,1.98,20776239_EA,le Choix du Président,2019-06-28 22:19
Champignons creminis entiers,1.98,20775805_EA,le Choix du Président,2019-06-28 22:19
Champignons blancs,2.48,21021499_EA,le Choix du Président,2019-06-28 22:19
Champignons de Paris,2.48,21021565_EA,le Choix du Président,2019-06-28 22:19
enokis entiers,2.98,21005376_EA,le Choix du Président,2019-06-28 22:19
Champignons blancs,3.78,20738571_EA,le Choix du Président,2019-06-28 22:19
Shiitake,3.98,20626629_EA,le Choix du Président,2019-06-28 22:19
chapeaux de portobellos,3.98,20626950_EA,le Choix du Président,2019-06-28 22:19
Champignons portobellos tranchés,3.98,20755816_EA,le Choix du Président,2019-06-28 22:19
Naturaly Imperfect Champignons blancs,3.98,20937529_EA,sans nom,2019-06-28 22:19
jeunes pleurotes du panicaut entiers,4.98,21005335_EA,le Choix du Président,2019-06-28 22:19
Brocoli,1.98,20145621001_EA,None,2019-06-28 22:19
Rapini,2.48,20048070001_EA,None,2019-06-28 22:19
Bok choys de Shanghai,2.8,20032454001_KG,None,2019-06-28 22:19
Chou-chine,3.16,20015025001_KG,None,2019-06-28 22:19
Bébé bok choy shanghaïen,3.28,20073098001_KG,None,2019-06-28 22:19
Bébé bok choys,3.61,20082279001_KG,None,2019-06-28 22:19
Choux de Bruxelles préemballés,3.95,20808797001_KG,None,2019-06-28 22:19
Brocoli biologique,4.48,20149635001_EA,None,2019-06-28 22:19
Chou-fleur,4.98,20135377001_EA,None,2019-06-28 22:19
Chou de Savoie,5.45,20163650001_KG,None,2019-06-28 22:19
Chou vert,5.48,20793034001_KG,None,2019-06-28 22:19
Chou rouge,5.81,20773656001_KG,None,2019-06-28 22:19
Fromage bleu traditionnel,4.48,20428574_EA,Castello,2019-06-28 22:19
Fromage bleu extra crémeux,4.48,20426302_EA,Rosenborg,2019-06-28 22:19
fromage bleu,4.98,20419129_EA,le Choix du Président,2019-06-28 22:19
Fromage Bresse Bleu,5.98,21093685_EA,Papillon,2019-06-28 22:19
fromage bleu traditionnel,10.0,21062772_EA,Castello,2019-06-28 22:19
Fromage de chèvre aux figues,5.48,20690427_EA,le Choix du Président,2019-06-28 22:19
Fromage féta de lait de chèvre émietté ail et fines herbes,5.48,20889580_EA,le Choix du Président,2019-06-28 22:19
fromage féta de lait de chèvre émietté,5.48,20897342_EA,le Choix du Président,2019-06-28 22:19
Fromage de chèvre au poivre,5.48,20314830_EA,le Choix du Président,2019-06-28 22:19
fromage de chèvre non affiné à pâte molle,5.48,20330259_EA,le Choix du Président,2019-06-28 22:19
fromage de chèvre non affiné à pâte molle,5.48,20000584_EA,le Choix du Président,2019-06-28 22:19
fromage féta de lait de chèvre émietté,5.48,20862068_EA,le Choix du Président,2019-06-28 22:19
Féta émietté herbes et ail,5.48,20862432_EA,le Choix du Président,2019-06-28 22:19
Mozzarella de lait de chèvre,6.48,20302517_EA,le Choix du Président,2019-06-28 22:19
Brie de chèvre,6.48,20251597_EA,le Choix du Président,2019-06-28 22:19
fromage de chèvre aux fines herbes, non affiné, à pâte molle,8.0,20569737_EA,le Choix du Président,2019-06-28 22:19
Fromage de chèvre Menu bleu,8.0,20824850_EA,le Choix du Président,2019-06-28 22:19
Fromage de chèvre canneberges,8.0,20419118_EA,le Choix du Président,2019-06-28 22:19
Fromage de chèvre en rondin,8.0,20569735_EA,le Choix du Président,2019-06-28 22:19
Fromage de chèvre Paillot,8.28,21067359_EA,Saputo,2019-06-28 22:19
Chevrai,9.98,20715527_EA,Woolwich,2019-06-28 22:19
Fromage parmesan râpé,1.0,20571792_EA,Bari,2019-06-28 22:19
Fromage parmesan râpé,4.98,20144307_EA,Kraft,2019-06-28 22:19
Mélange de romano et de parmesan râpés,4.98,20708947_EA,Saputo,2019-06-28 22:19
Fromage parmesan râpé,4.98,20025465_EA,Tre Stelle,2019-06-28 22:19
Fromage parmesan râpé,4.98,20708946_EA,Saputo,2019-06-28 22:19
Fromage, parmesan ordinaire râpé,4.98,20570234_EA,Saputo,2019-06-28 22:19
Romano râpé,4.98,20038109_EA,Tre Stelle,2019-06-28 22:19
Produit de fromage râpé 4 % M.G.,5.0,20901149_EA,Saputo,2019-06-28 22:19
fromage mozzarella fumé,5.0,21023266_EA,le Choix du Président,2019-06-28 22:19
Pétales de parmesan,5.48,20125339_EA,Saputo,2019-06-28 22:19
mélange de fromages garniture à salade,5.78,20310949006_EA,le Choix du Président,2019-06-28 22:19
Fromage Cheddar Râpé Marbré 33 % M.G.,5.88,21022314_EA,P’tit Québec,2019-06-28 22:19
Fromage Cheddar Râpé Mi-Fort 35 % M.G.,5.88,21022350_EA,P’tit Québec,2019-06-28 22:19
Fromage parmesan râpé,5.98,20132431001_EA,Kraft,2019-06-28 22:19
Fromage romano râpé,6.0,20563608_EA,Zerto,2019-06-28 22:19
Asiago râpé,6.0,20563134_EA,Zerto,2019-06-28 22:19
Fromage râpé Cracker Barrel avec herbes et ail,6.48,21022246_EA,Kraft,2019-06-28 22:19
Fromage bloc de cheddar marbré,6.48,20038994_EA,Riviera,2019-06-28 22:19
Fromage Menu bleu parmesan léger,6.98,20064553_EA,le Choix du Président,2019-06-28 22:19
Oka Artisan, fumé,7.78,21025090_EA,Oka,2019-06-28 22:19
grana padano fromage affiné à pâte ferme vieilli 14 mois pc splend,8.98,21051031_EA,le Choix du Président,2019-06-28 22:19
parmigiano reggiano pc splend,8.98,21053434_EA,le Choix du Président,2019-06-28 22:19
Fromage Le P’tit Bonheur, pointe,6.58,20936552_EA,Bergeron,2019-06-28 22:19
Fromage Doré-Mi,7.76,20052309_KG,Cayer,2019-06-28 22:19
Fromage suisse en tranches,3.28,20769059_EA,Saputo,2019-06-28 22:19
Gouda épicé,5.0,20884302_EA,Anco,2019-06-28 22:19
Havarti aux fines herbes et épices,5.0,20574963_EA,Arla,2019-06-28 22:19
Havarti aux jalapenos,5.0,20573910_EA,Arla,2019-06-28 22:19
Fromage suisse en tranches, 30 %,5.0,20907819_EA,Ziggy’s,2019-06-28 22:19
Fromage suisse léger en tranches, 18 %,5.0,20907851_EA,Ziggy’s,2019-06-28 22:19
Havarti en tranches, 23 %,5.0,20907695_EA,Ziggy’s,2019-06-28 22:19
Havarti crémeux en tranches, 32 %,5.0,20913249_EA,Ziggy’s,2019-06-28 22:19
Havarti crémeux,5.0,20573932_EA,Arla,2019-06-28 22:19
Gouda en tranches,5.28,20250505_EA,le Choix du Président,2019-06-28 22:19
fromage suisse léger en tranches,5.28,20249889_EA,le Choix du Président,2019-06-28 22:19
fromage suisse en tranches,5.28,20250947_EA,le Choix du Président,2019-06-28 22:19
Fromage tranché Le Fin Renard,6.28,20934573_EA,Bergeron,2019-06-28 22:19
Gruyère,6.48,20089044_EA,Swiss Knight,2019-06-28 22:19
Fonfue au fromage Swiss Knight,6.48,20069458_EA,Swiss Knight,2019-06-28 22:19
Fromage Le Calumet,6.58,20934572_EA,Bergeron,2019-06-28 22:19
Fromage Lady Laurier d’Arthabaska aromatisé à la vanille,6.98,20972869_EA,Saputo,2019-06-28 22:19
Fondue suisse,8.48,20178070_EA,Kingsey,2019-06-28 22:19
Fondue suisse,8.78,20059948_EA,le Choix du Président,2019-06-28 22:19
Fromage Brie Double Crème 28 % M.G.,10.0,21012275_EA,Royal,2019-06-28 22:19
Fromage Le gruyère,10.0,20748622_EA,None,2019-06-28 22:19
fromage suisse léger en tranches,12.0,20250536_EA,le Choix du Président,2019-06-28 22:19
fromage suisse en tranches,12.0,20249985_EA,le Choix du Président,2019-06-28 22:19
Havarti crémeux, format Club,14.0,20574333_EA,Arla,2019-06-28 22:19
Havarti aux jalapeno, format Club,14.0,20574089_EA,Arla,2019-06-28 22:19
Fromage tortillon,1.88,20085749_EA,Fromagerie La Chaudière,2019-06-28 22:19
Fromage suisse en tranches,3.28,20769059_EA,Saputo,2019-06-28 22:19
Fondue parmesan,3.48,20111487_EA,Royal,2019-06-28 22:19
Fondue parmesan,3.98,20155453_EA,Royal,2019-06-28 22:19
Fromage feta Fetos, M.G. 22 %,4.28,20774519_EA,Saputo,2019-06-28 22:19
Féta en saumure,4.48,20573975_EA,Saputo,2019-06-28 22:19
Fromage féta léger dans la saumure,4.48,20573976_EA,Saputo,2019-06-28 22:19
Fromage tortillon,4.88,20071625_EA,Fromagerie La Chaudière,2019-06-28 22:19
Fromage léger tranché,5.0,20319191_EA,Jarlsberg,2019-06-28 22:19
Fromage suisse en tranches, 30 %,5.0,20907819_EA,Ziggy’s,2019-06-28 22:19
Fromage suisse léger en tranches, 18 %,5.0,20907851_EA,Ziggy’s,2019-06-28 22:19
;
;Mozzarella Fresca,5.0,21184247_EA,Saputo,2019-06-28 22:19
Fromage tranché,5.0,20096163_EA,Jarlsberg,2019-06-28 22:19
Boule de mozzarella,5.0,21004922_EA,Ziggy’s,2019-06-28 22:19
